,ICAO,Name,Country,Region,Latitude,Longitude,Ctemp,Snow,RGBA,Sunrise,Sunset
99,KMLS,Miles City,US,MT,46.4333,-105.8833,5.6,,"[0.844402277039848, 1.0, 0.12333965844402273, 1.0]",2024-11-11 14:01:12+00:00,2024-11-10 23:33:36+00:00
100,KHLN,Helena Regional Airport,US,MT,46.6,-111.9667,2.7,,"[0.6925996204933585, 1.0, 0.27514231499051234, 1.0]",2024-11-11 14:25:48+00:00,2024-11-10 23:57:36+00:00
101,KBIS,Bismarck Municipal Airport,US,ND,46.7833,-100.75,0.5,,"[0.5660974067046173, 1.0, 0.4016445287792536, 1.0]",2024-11-11 13:41:24+00:00,2024-11-10 23:12:36+00:00
102,KDLH,Duluth International Airport,US,MN,46.8333,-92.2167,2.2,,"[0.6546489563567361, 1.0, 0.31309297912713474, 1.0]",2024-11-11 13:07:12+00:00,2024-11-10 22:38:24+00:00
103,CXBO,Beauport,CA,QC,46.84,-71.2,4.4,,"[0.7811511701454774, 1.0, 0.18659076533839347, 1.0]",2024-11-11 11:43:12+00:00,2024-11-10 21:14:24+00:00
104,KFAR,Hector International Airport,US,ND,46.9333,-96.8167,2.9,,"[0.6925996204933585, 1.0, 0.27514231499051234, 1.0]",2024-11-11 13:25:48+00:00,2024-11-10 22:56:24+00:00
105,KBFI,Seattle / South Park,US,WA,47.53,-122.302,9.8,,"[1.0, 0.843137254901961, 0.0, 1.0]",2024-11-11 15:09:36+00:00,2024-11-11 00:36:36+00:00
106,KGEG,Spokane International Airport,US,WA,47.6167,-117.5333,6.4,,"[0.8950031625553446, 1.0, 0.07273877292852626, 1.0]",2024-11-11 14:51:00+00:00,2024-11-11 00:16:48+00:00
107,CYYT,St. John's International Airport,CA,NL,47.62,-52.75,5.0,,"[0.8191018342820998, 1.0, 0.14864010120177107, 1.0]",2024-11-11 10:31:48+00:00,2024-11-10 19:58:12+00:00
108,CYQT,"Thunder Bay, Ontario",CA,ON,48.3667,-89.3167,1.5,,"[0.6166982922201137, 1.0, 0.35104364326375714, 1.0]",2024-11-11 13:00:00+00:00,2024-11-10 22:22:12+00:00
109,KHVR,Havre City-County Airport,US,MT,48.55,-109.7667,3.6,,"[0.730550284629981, 1.0, 0.23719165085388993, 1.0]",2024-11-11 14:22:48+00:00,2024-11-10 23:43:12+00:00
